id,edit_history_tweet_ids,created_at,text,label
1950241246779232260,['1950241246779232260'],2025-07-29T17:05:21.000Z,"New ways to learn and explore with AI Mode in Search 🧠

- Upload photos and soon, PDFs, to ask questions that deepen your understanding
- Create plans and stay organized on projects with Canvas in AI Mode, which will soon be available for U.S. users enrolled in the AI Mode Labs https://t.co/znt0aQwQgz",0
1950227559137857627,['1950227559137857627'],2025-07-29T16:10:58.000Z,@NotebookLM Learn more about @NotebookLM Video Overviews as well as powerful new updates to the Studio panel ↓ https://t.co/qVVGWINcJR,0
1950227556550017430,['1950227556550017430'],2025-07-29T16:10:57.000Z,"Today, we’re introducing Video Overviews in @NotebookLM — a visual alternative to Audio Overviews. Dive deeper with short, engaging slide summaries using images, diagrams, quotes and data from your sources, narrated by your AI host. https://t.co/FW6EdLE5CN",0
1950183281569206732,['1950183281569206732'],2025-07-29T13:15:01.000Z,"We’re expanding the power of AI Mode in Search to the U.K. so more people can get help with their most complex questions 🇬🇧

Learn more ⬇️ https://t.co/ApobcoX3Bs",0
1948833141776384346,['1948833141776384346'],2025-07-25T19:50:03.000Z,"This week at Google, we shared updates for Google Photos, Shopping and more ↓ https://t.co/cN4qYcvcZk",0
1948434032645050665,['1948434032645050665'],2025-07-24T17:24:08.000Z,"Our latest shopping features are here to help you explore your style and get the best price 👗

- Our try on experience launches today in the U.S., which means you can try on your “new semester, new me” outfits before you buy. 
- Use our updated price alerts, which let you set https://t.co/GElo9nbtTO",0
1948039522194718799,['1948039522194718799'],2025-07-23T15:16:29.000Z,"In 2022, @GoogleDeepMind launched Ithaca to help restore, place and date ancient texts.

Now, they're working with collaborators to introduce Aeneas, a new AI model that contextualizes ancient Latin inscriptions. 📜

Learn more ⬇️ https://t.co/CJrNY0zcHN",0
1947753019623248307,['1947753019623248307'],2025-07-22T20:18:02.000Z,"Home in or hone in? Moot point or mute point? For tricky turns of phrase, try AI Mode in Search https://t.co/r8J6fBfMnR",0
1947689382892204542,['1947689382892204542'],2025-07-22T16:05:09.000Z,"Gemini 2.5 Flash-Lite, our most cost-efficient and fastest 2.5 model yet, is now available — complete with the same capabilities that make our 2.5 model family so useful, like multimodality, thinking and connection to tools like Search.

Learn more 🔦⬇️ https://t.co/47ol57L8UY",0
1946307412375347353,['1946307412375347353'],2025-07-18T20:33:42.000Z,"From iconic recipes to regional rivalries, take a hot dog road trip with AI Mode in Search 🌭 https://t.co/Ujh8fBadiI",0
1946255625542864977,"['1946254853908361573', '1946255169324294152', '1946255625542864977']",2025-07-18T17:07:55.000Z,"ICYMI: Here’s the latest news from the Gemini app 📰

For more on Gemini, follow @GeminiApp https://t.co/9fG72cpEwx",0
1945516207072764251,['1945516207072764251'],2025-07-16T16:09:44.000Z,"From advanced reasoning to research to getting things done, Search just got even more helpful. Learn more about our updates here ⬇️  https://t.co/1YBvkU4E5J",0
1945516204346520012,['1945516204346520012'],2025-07-16T16:09:43.000Z,"Get things done faster in Search.

We’re bringing AI-powered calling to local businesses directly into Search. Get pricing and availability info about services without needing to pick up the phone. Rolling out for all users in the U.S., with higher limits for AI Pro &amp; Ultra https://t.co/3c2HLljMWe",0
1945516167973539986,['1945516167973539986'],2025-07-16T16:09:35.000Z,"Go more in-depth with Deep Search.

Deep Search is our most advanced research tool in Search. With Gemini 2.5 Pro, it browses hundreds of sites and reasons across them, crafting a comprehensive, fully-cited report in just minutes. Rolling out for Google AI Pro and Ultra https://t.co/JyX9sIas3L",0
1945516119927693484,['1945516119927693484'],2025-07-16T16:09:23.000Z,"Search, now with Gemini 2.5 Pro.

Select our latest, most powerful model right in AI Mode. Gemini 2.5 Pro has advanced reasoning capabilities, excels at math &amp; coding and can help with advanced learning questions, with links to learn more. Rolling out for Google AI Pro and Ultra https://t.co/oD4anW9MoK",0
1945516083303129227,['1945516083303129227'],2025-07-16T16:09:14.000Z,"🧵 New advanced AI capabilities are coming to Search ⚡ Now you can:

✅ Try Gemini 2.5 Pro in AI Mode for help with complex questions
✅ Save hours of research with Deep Search in AI Mode
✅ Have Search call local businesses to check pricing for you",0
1943738854290125247,['1943738854290125247'],2025-07-11T18:27:10.000Z,"Veo 3 in the @GeminiApp can turn your favorite photos into 8-second videos with sound. 🖼️ ➡️ 📹

It’s available now to Google AI Ultra and Pro subscribers. Learn more → https://t.co/ZDDioJ4NeO https://t.co/EoG8SOPkuc",0
1943388394161049766,['1943388394161049766'],2025-07-10T19:14:34.000Z,"The best of Google AI is coming to more people 🌎

🧑‍💻 Google AI Ultra is expanding to 76 more countries, meaning over 140 countries now get the highest access to the best of Google AI including Veo 3 in the @GeminiApp. 

🎞️ Flow is also coming to more places, and we’re https://t.co/1bVTEAhtCR",0
1943328301843448251,['1943328301843448251'],2025-07-10T15:15:47.000Z,Learn more about our image-to-video capability in @GeminiApp ⬇️ https://t.co/XO60iG1BWo,0
1943328300517958101,['1943328300517958101'],2025-07-10T15:15:46.000Z,Now you can do more with Veo 3 by transforming photos to videos 🎉 https://t.co/7UBuaUUhC0,0
1942966536198631747,['1942966536198631747'],2025-07-09T15:18:15.000Z,"To start talking with Gemini on Wear OS, just say “Hey Google,” press and hold the side button on your watch or tap on the Gemini app icon on your watch screen.

Learn more about Gemini on Wear OS ↓ https://t.co/ojFPybXVVc",0
1942966532746645701,['1942966532746645701'],2025-07-09T15:18:14.000Z,"Starting today, Gemini begins rolling out to Wear OS watches, including those from Pixel, Samsung, OPPO, OnePlus and Xiaomi. Get the help you need, right on your wrist, without needing to take out your phone. https://t.co/AbrrBcF7ud",0
1942953804141371561,['1942953804141371561'],2025-07-09T14:27:39.000Z,"Learn more about the new advanced capabilities coming to Circle to Search ↓
https://t.co/PkkJaDrehc",0
1942953801444368556,['1942953801444368556'],2025-07-09T14:27:39.000Z,Also rolling out today: Get in-the-moment mobile gaming help with Circle to Search. Need to identify a new character or find a winning strategy? Get the tips you need without leaving your game. https://t.co/YZBurCBFaY,0
1942953797904654692,['1942953797904654692'],2025-07-09T14:27:38.000Z,"Today, we’re bringing our most powerful AI search experience, AI Mode, right into Circle to Search on Android. Circle, search and dive deeper with AI Mode’s advanced reasoning to explore complex topics and ask follow-up questions — all without switching apps. https://t.co/5MDhHEl62a",0
1940511642866811334,['1940511642866811334'],2025-07-02T20:43:23.000Z,Historical Street View imagery is here 📍 Celebrate 20 years of Google Earth with even more viewpoints → https://t.co/BA0DWp2jNR https://t.co/LLStzYvajX,0
1940065735931285744,['1940065735931285744'],2025-07-01T15:11:30.000Z,@ISTEofficial Catch up on all our @GoogleForEdu announcements from @ISTEofficial ↓ https://t.co/779w0UJvt3,0
1940065733259530737,['1940065733259530737'],2025-07-01T15:11:30.000Z,"This week at @ISTEofficial, we shared new updates to Gemini, Google Workspace for Education and Chromebooks for educators, students and schools globally, including:
✨ More than 30 no-cost AI tools for educators with Gemini in Classroom
📝 Gemini for Education, a version of",0
1938309691828015155,"['1938307620797866359', '1938309691828015155']",2025-06-26T18:53:37.000Z,"The plot thickens. 🕵️ Use Gemini 2.5 Pro in the @GeminiApp to turn random videos from your camera roll into a dramatic narrative.

Try it yourself:
1️⃣ Go to Gemini and select “2.5 Pro” from the model dropdown.

2️⃣ Tap the plus icon and upload three videos from your camera roll. https://t.co/4CfSxAPMIy",0
